m=4:
x	function	polynomial
0,3806023	0,2752866	0,2752866
3,0865829	141,2296448	141,2296448
6,9134173	1515,1251221	1515,1251221
9,6193981	3967,7675781	3967,7678223
m=5:
x	function	polynomial
0,2447174	0,0733308	0,0733308
2,0610738	42,6446533	42,6446533
5,0000000	585,9703979	585,9703979
7,9389262	2269,0380859	2269,0380859
9,7552824	4132,7690430	4132,7690430
m=6:
x	function	polynomial
0,1703709	0,0247733	0,0247733
1,4644661	15,4287252	15,4287252
3,7059047	242,4681549	242,4681396
6,2940950	1151,2882080	1151,2880859
8,5355339	2802,4848633	2802,4846191
9,8296289	4224,8994141	4224,8994141
m=8:
x	function	polynomial
0,0960736	0,0044475	0,0044475
0,8426520	2,9664783	2,9664783
2,2221489	53,3241196	53,3241196
4,0245485	309,2828674	309,2828674
5,9754515	988,7357788	988,7357788
7,7778511	2137,3591309	2137,3588867
9,1573477	3438,8295898	3438,8293457
9,9039268	4318,2905273	4318,2905273
m=9:
x	function	polynomial
0,0759612	0,0021990	0,0021990
0,6698730	1,4942157	1,4942158
1,7860620	27,8591042	27,8591061
3,2898993	170,5578308	170,5578461
5,0000000	585,9703979	585,9703369
6,7101007	1388,4733887	1388,4735107
8,2139378	2505,8513184	2505,8510742
9,3301268	3630,8837891	3630,8837891
9,9240389	4343,7993164	4343,7988281
